-27.560240963855392	-94.5783132530122	-145.030120481927	-237.650602409635	-303.915662650596	-389.006024096378
-27.560240963855392	-94.50650515926438	-144.9227242960045	-237.55533726260285	-303.82907662081874	-388.89285480384336
-27.560240963855392	-94.4254310068578	-144.75703994760892	-237.38965291420726	-303.66339227242327	-388.6443120047078
-27.560240963855392	-94.3443568544512	-144.5913555992133	-237.22396856581167	-303.4977079240278	-388.39576920557215
-27.560240963855392	-94.26328270204462	-144.42567125081771	-237.05828421741603	-303.3320235756323	-388.14722640643663
-27.560240963855392	-94.18220854963803	-144.2599869024221	-236.89259986902047	-303.1663392272368	-387.89868360730105
-27.560240963855392	-94.10113439723143	-144.0943025540265	-236.72691552062486	-303.0006548788414	-387.6501408081655
-27.560240963855392	-94.02006024482483	-143.92861820563093	-236.56123117222927	-302.83497053044584	-387.40159800902984
-27.560240963855392	-93.93898609241825	-143.7629338572353	-236.39554682383368	-302.66928618205037	-387.1530552098943
-27.560240963855392	-93.85791194001166	-143.59724950883972	-236.22986247543807	-302.5036018336549	-386.90451241075874
-27.511664993207695	-93.73597164796233	-143.39890129363698	-235.96325397293865	-302.1831610044254	-386.55539143278355
-27.436949973421505	-93.58653278204383	-143.174729753676	-235.5895905949035	-301.65997045789663	-386.0322008862547
-27.362234953635316	-93.43709391612535	-142.95055821371503	-235.21592721686844	-301.1367799113677	-385.50901033972593
-27.287519933849126	-93.28765505020687	-142.72638667375404	-234.84226383883333	-300.61358936483884	-384.9858197931972
-27.212804914062932	-93.1382161842884	-142.50221513379304	-234.4686004607982	-300.09039881830995	-384.4626292466685
-27.13808989427674	-92.9887773183699	-142.27804359383208	-234.0949370827631	-299.5672082717811	-383.9394387001397
-27.06337487449055	-92.83933845245141	-142.0538720538711	-233.721273704728	-299.0440177252523	-383.4162481536109
-26.98865985470436	-92.68989958653293	-141.8297005139101	-233.3476103266929	-298.5208271787234	-382.89305760708214
-26.913944834918166	-92.54046072061445	-141.60552897394913	-232.97394694865778	-297.99763663219454	-382.36986706055336
-26.839229815131976	-92.39102185469596	-141.38135743398814	-232.60028357062268	-297.4744460856657	-381.84667651402464
-26.743155843005198	-92.20272904483447	-141.04927330733696	-232.05832816239285	-296.81737588651845	-381.2145390070843
-26.631080003543868	-91.97855750487346	-140.60085076214023	-231.27338001949778	-295.92021276595125	-380.31737588651686
-26.51900416408254	-91.75438596491247	-140.15242821694352	-230.4884318766027	-295.02304964538405	-379.4202127659493
-26.406928324621216	-91.53021442495145	-139.7040056717468	-229.7034837337076	-294.1258865248168	-378.5230496453818
-26.294852485159886	-91.30604288499046	-139.25558312655008	-228.91853559081252	-293.22872340424965	-377.6258865248143
-26.18277664569856	-91.08187134502946	-138.80716058135334	-228.13358744791745	-292.3315602836824	-376.7287234042468
-26.070700806237234	-90.85769980506845	-138.35873803615664	-227.3486393050224	-291.4343971631152	-375.8315602836793
-25.963936072295173	-90.41710842028927	-137.71347248576774	-226.3487787857604	-290.2282435714831	-374.59743529686455
-25.85808718935651	-89.92299536856224	-137.0074785132262	-225.25415212839826	-288.85082502721644	-373.11599718935776
-25.75223830641784	-89.42888231683521	-136.30148454068464	-224.15952547103615	-287.4734064829497	-371.63455908185114
-25.646389423479178	-88.93476926510819	-135.59549056814308	-223.064898813674	-286.09598793868304	-370.15312097434446
-25.54054054054051	-88.44065621338117	-134.8894965956015	-221.97027215631186	-284.71856939441636	-368.6716828668377
-25.43469165760184	-87.94654316165415	-134.18350262305995	-220.87564549894975	-283.3411508501497	-367.190244759331
-25.328842774663176	-87.45243010992712	-133.47750865051842	-219.78101884158758	-281.963732305883	-365.7088066518244
-25.222993891724506	-86.9583170582001	-132.77151467797682	-218.68639218422544	-280.58631376161634	-364.22736854431764
-25.11714500878584	-86.46420400647307	-132.0655207054353	-217.59176552686333	-279.20889521734966	-362.745930436811
-25.011296125847174	-85.97009095474604	-131.3595267328937	-216.49713886950119	-277.83147667308293	-361.2644923293043
-24.905447242908508	-85.47597790301901	-130.65353276035216	-215.40251221213907	-276.4540581288163	-359.78305422179756
-24.799598359969842	-84.98186485129199	-129.9475387878106	-214.30788555477693	-275.0766395845496	-358.30161611429094
-24.693749477031176	-84.48775179956496	-129.24154481526904	-213.2132588974148	-273.6992210402829	-356.8201780067842
-24.58790059409251	-83.99363874783793	-128.5355508427275	-212.11863224005265	-272.32180249601623	-355.3387398992775
-24.482051711153844	-83.49952569611091	-127.82955687018594	-211.0240055826905	-270.9443839517495	-353.85730179177085
-24.376202828215177	-83.0054126443839	-127.12356289764436	-209.92937892532836	-269.5669654074828	-352.3758636842642
-24.27035394527651	-82.51129959265687	-126.41756892510281	-208.83475226796625	-268.18954686321615	-350.89442557675744
-24.16450506233784	-82.01718654092983	-125.71157495256125	-207.7401256106041	-266.8121283189495	-349.4129874692507
-24.05865617939918	-81.52307348920282	-125.00558098001969	-206.64549895324194	-265.4347097746828	-347.93154936174403
-23.95280729646051	-81.02896043747579	-124.29958700747815	-205.55087229587983	-264.0572912304161	-346.45011125423736
-23.846958413521843	-80.53484738574876	-123.59359303493657	-204.4562456385177	-262.67987268614945	-344.7141392859099
-23.714070540981513	-79.97488699146177	-122.74634176976672	-203.09118330924116	-261.02841337691217	-342.1929275098152
-23.55529057361613	-79.33952787543966	-121.71355900270031	-201.26280399672945	-258.8018606990144	-339.6717157337206
-23.39651060625075	-78.70416875941754	-120.68077623563391	-199.43442468421773	-256.5753080211167	-337.15050395762586
-23.237730638885367	-78.06880964339544	-119.64799346856752	-197.60604537170605	-254.34875534321895	-334.62929218153124
