-150.0	3.440126261691453e14
-149.9	3.4402312533430244e14
-149.8	3.440314617973938e14
-149.7	3.440368229781442e14
-149.6	3.4404505455839256e14
-149.5	3.440498339490645e14
-149.4	3.440588189464771e14
-149.3	3.440671099220911e14
-149.2	3.440724398057061e14
-149.1	3.440807295923927e14
-149.0	3.4408579262316194e14
-148.9	3.4409577898127675e14
-148.8	3.4410402026788475e14
-148.7	3.441093985805054e14
-148.6	3.4411755076374444e14
-148.5	3.441224576414026e14
-148.4	3.441313748560126e14
-148.3	3.4413968330754844e14
-148.2	3.441451310784358e14
-148.1	3.4415362207865225e14
-148.0	3.4415857122105525e14
-147.9	3.441679707457286e14
-147.8	3.441762618163374e14
-147.7	3.4418170333294844e14
-147.6	3.441901550548525e14
-147.5	3.441952769270481e14
-147.4	3.4420435600461956e14
-147.3	3.442125582914135e14
-147.2	3.4421769528849844e14
-147.1	3.4422609766921744e14
-147.0	3.442313680086946e14
-146.9	3.442408367300224e14
-146.8	3.4424943477616325e14
-146.7	3.442546780096908e14
-146.6	3.442629310891771e14
-146.5	3.442680096468969e14
-146.4	3.442771147664419e14
-146.3	3.442855863883475e14
-146.2	3.442910704332654e14
-146.1	3.442994492548914e14
-146.0	3.443047850195094e14
-145.9	3.443147020799791e14
-145.8	3.44323184145645e14
-145.7	3.4432862539690906e14
-145.6	3.443373063511481e14
-145.5	3.4434232845348256e14
-145.4	3.4435145874250925e14
-145.3	3.443601427036646e14
-145.2	3.443656865298691e14
-145.1	3.443741000903911e14
-145.0	3.443791933971355e14
-144.9	3.4438919272009256e14
-144.8	3.4439768247090925e14
-144.7	3.444029841703304e14
-144.6	3.444114927233046e14
-144.5	3.444166788787904e14
-144.4	3.4442566343222175e14
-144.3	3.4443420255366475e14
-144.2	3.444396739638396e14
-144.1	3.444483158864663e14
-144.0	3.4445356425987325e14
-143.9	3.444639394598235e14
-143.8	3.444728337871271e14
-143.7	3.44478420241517e14
-143.6	3.444872959514871e14
-143.5	3.4449259054392606e14
-143.4	3.44501704874343e14
-143.3	3.445104558716202e14
-143.2	3.445159664468007e14
-143.1	3.445249640291865e14
-143.0	3.4453019747913856e14
-142.9	3.445409281878491e14
-142.8	3.445498372550676e14
-142.7	3.44555472153016e14
-142.6	3.44564562074639e14
-142.5	3.445699766442864e14
-142.4	3.445794901732234e14
-142.3	3.445884491504609e14
-142.2	3.4459428665479125e14
-142.1	3.4460324318640925e14
-142.0	3.446087835266446e14
-141.9	3.4461983592437825e14
-141.8	3.4462927900329475e14
-141.7	3.446349005931617e14
-141.6	3.446443814812453e14
-141.5	3.446497492878271e14
-141.4	3.4465962750404925e14
-141.3	3.446685460031676e14
-141.2	3.446742518579355e14
-141.1	3.446834747995235e14
-141.0	3.4468904193448425e14
-140.9	3.4470006913347594e14
-140.8	3.447092535333527e14
-140.7	3.4471492688053294e14
-140.6	3.447240297424684e14
-140.5	3.4472956457274406e14
-140.4	3.447396035219523e14
-140.3	3.4474863776192425e14
-140.2	3.447544790555602e14
-140.1	3.447637907757364e14
-140.0	3.447692360669565e14
-139.9	3.447806715842374e14
-139.8	3.447901451939251e14
-139.7	3.447958989958881e14
-139.6	3.44805202420691e14
-139.5	3.4481078616943375e14
-139.4	3.448206663539648e14
-139.3	3.448298307572344e14
-139.2	3.448358131643945e14
-139.1	3.448451682824874e14
-139.0	3.4485091676356525e14
-138.9	3.4486248544995644e14
-138.8	3.44872160567232e14
-138.7	3.4487793322232444e14
-138.6	3.448872499352443e14
-138.5	3.448926708508349e14
-138.4	3.449027197999229e14
-138.3	3.449121828188641e14
-138.2	3.44918103283899e14
-138.1	3.4492751034854194e14
-138.0	3.449332615388929e14
-137.9	3.4494527557187225e14
-137.8	3.4495484634814394e14
-137.7	3.4496078645280375e14
-137.6	3.44970425123282e14
-137.5	3.449758450402981e14
-137.4	3.449861004798286e14
-137.3	3.449952079625441e14
-137.2	3.4500101462266656e14
-137.1	3.4501041389016e14
-137.0	3.450161390258454e14
-136.9	3.450277361195914e14
-136.8	3.450372732012577e14
-136.7	3.4504322580285475e14
-136.6	3.450527188872492e14
-136.5	3.45058106276626e14
-136.4	3.450684583959596e14
-136.3	3.450780810335606e14
-136.2	3.450841513180555e14
-136.1	3.4509378330942325e14
-136.0	3.450995327484323e14
-135.9	3.4511148768088575e14
-135.8	3.4512123122539275e14
-135.7	3.4512713538990494e14
-135.6	3.451368065759851e14
-135.5	3.4514244515053806e14
-135.4	3.451528085957314e14
-135.3	3.451626652436928e14
-135.2	3.45168653553389e14
-135.1	3.4517825832206725e14
-135.0	3.451842393180339e14
-134.9	3.451964596359471e14
-134.8	3.4520606329837275e14
-134.7	3.452121912383323e14
-134.6	3.4522168470814775e14
-134.5	3.452272767917205e14
-134.4	3.45237602509833e14
-134.3	3.45247276094479e14
-134.2	3.4525333411856294e14
-134.1	3.45263056629283e14
-134.0	3.4526880399314675e14
-133.9	3.4528107432061225e14
-133.8	3.4529065110339025e14
-133.7	3.4529658605762e14
-133.6	3.453060002276936e14
-133.5	3.453118062569246e14
-133.4	3.453220231830026e14
-133.3	3.453314788796624e14
-133.2	3.4533752253862775e14
-133.1	3.453473575688204e14
-133.0	3.453530877548256e14
-132.9	3.4536468841417556e14
-132.8	3.453743350832335e14
-132.7	3.453802532994443e14
-132.6	3.45389853933733e14
-132.5	3.453954585688371e14
-132.4	3.454056282200519e14
-132.3	3.454153693966094e14
-132.2	3.454216329126485e14
-132.1	3.454313727245246e14
-132.0	3.4543734295325925e14
-131.9	3.4544891826359125e14
